long,lat,LocationID
-74.1407875,40.62816687,187
-73.94744164,40.65874445,188
-73.96758681,40.67763539,189
-73.96891374,40.66162216,190
-73.74153177,40.71545452,191
-73.81522936,40.74375149,192
-73.94199706,40.76031364,193
-73.9245963,40.79100078,194
-74.00917849,40.67554886,195
-73.86333856,40.72615564,196
-73.83092407,40.69454235,197
-73.90170926,40.7065268,198
-73.88265825,40.7911329,199
-73.90698711,40.89952906,200
-73.84345281,40.57798249,201
-73.94995171,40.76189975,202
-73.73947256,40.65785342,203
-74.20782608,40.54033401,204
-73.76314612,40.69120145,205
-74.1023125,40.6389722,206
-73.89935256,40.76398559,207
-73.82354012,40.82331858,208
-74.00366456,40.70907274,209
-73.94050717,40.59202346,210
-74.00153757,40.72388811,211
-73.86967966,40.82790215,212
-73.85813499,40.81785856,213
-74.08551236,40.58678663,214
-73.79096393,40.69442755,215
-73.81945964,40.67615404,216
-73.95859684,40.70391644,217
-73.77303566,40.67208971,218
-73.76450579,40.66218488,219
-73.91066468,40.88240311,220
-74.07370445,40.61876928,221
-73.88241293,40.64752703,222
-73.90540773,40.77742692,223
-73.97659767,40.73182064,224
-73.93188826,40.68816819,225
-73.92467307,40.73769896,226
-74.00465206,40.64188632,227
-74.01127117,40.65235465,228
-73.9651458,40.75672894,229
-73.98419649,40.75981762,230
-74.00787971,40.71777274,231
-73.98302456,40.71473251,232
-73.97044257,40.74991408,233
-73.99045782,40.74033744,234
-73.91597542,40.85252115,235
-73.9570117,40.78043644,236
-73.96563454,40.76861518,237
-73.9730489,40.79170494,238
-73.97863195,40.78396143,239
-73.88197808,40.89459913,240
-73.89562002,40.87651238,241
-73.85067058,40.8467829,242
-73.93283149,40.85710828,243
-73.94139911,40.84170877,244
-74.10286011,40.63004939,245
-74.00401513,40.75330907,246
-73.92440873,40.82898823,247
-73.87228927,40.83416532,248
-74.00287496,40.73457601,249
-73.8486407,40.83210166,250
-74.1253478,40.61688001,251
-73.81565681,40.78819302,252
-73.84124394,40.76063075,253
-73.85894824,40.88215708,254
-73.95741813,40.71880392,255
-73.95990463,40.71087993,256
-73.97798241,40.65361187,257
-73.85576676,40.68872136,258
-73.85221545,40.89793203,259
-73.90630644,40.74423472,260
-74.01302277,40.70913894,261
-73.94651036,40.7759324,262
-73.95100987,40.77876586,263
